,PRICE,QUANTITY,YEAR,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR,MONTH,log_Q,log_p
PRICE,1.0,0.44993097614836003,-0.05129574951668134,-0.00019419662882679467,0.011825974982553715,-0.10326144099014604,-0.06039070764981883,-0.12136261536820478,0.44993097614836003,1.0
QUANTITY,0.44993097614836003,1.0,0.0064565769967795785,-0.24783968176404278,-0.00020696697256348151,-0.018891167831206424,-0.07657748144251256,0.030620989471394282,1.0,0.44993097614836003
YEAR,-0.05129574951668134,0.0064565769967795785,1.0,-0.0018840030439803254,0.30527850646089705,0.08083702593881588,0.03699741245602783,-0.14356314468622303,0.0064565769967795785,-0.05129574951668134
IS_WEEKEND,-0.00019419662882679467,-0.24783968176404278,-0.0018840030439803254,1.0,0.013612969042713377,-0.002456875782557459,-0.0047343559385398006,0.0027808750126195074,-0.24783968176404278,-0.00019419662882679467
IS_SCHOOLBREAK,0.011825974982553715,-0.00020696697256348151,0.30527850646089705,0.013612969042713377,1.0,0.261954795433034,-0.08525842480410116,-0.052342778487478675,-0.00020696697256348151,0.011825974982553715
AVERAGE_TEMPERATURE,-0.10326144099014604,-0.018891167831206424,0.08083702593881588,-0.002456875782557459,0.261954795433034,1.0,0.5446960758978733,0.2829055135353586,-0.018891167831206424,-0.10326144099014604
IS_OUTDOOR,-0.06039070764981883,-0.07657748144251256,0.03699741245602783,-0.0047343559385398006,-0.08525842480410116,0.5446960758978733,1.0,0.20883342987349582,-0.07657748144251256,-0.06039070764981883
MONTH,-0.12136261536820478,0.030620989471394282,-0.14356314468622303,0.0027808750126195074,-0.052342778487478675,0.2829055135353586,0.20883342987349582,1.0,0.030620989471394282,-0.12136261536820478
log_Q,0.44993097614836003,1.0,0.0064565769967795785,-0.24783968176404278,-0.00020696697256348151,-0.018891167831206424,-0.07657748144251256,0.030620989471394282,1.0,0.44993097614836003
log_p,1.0,0.44993097614836003,-0.05129574951668134,-0.00019419662882679467,0.011825974982553715,-0.10326144099014604,-0.06039070764981883,-0.12136261536820478,0.44993097614836003,1.0
